r_id,r_name,old_cat,parent_cat,subcategory,classification_notes,additional_info,link
Rx radiocjgt of,RxNorm radioconjugate of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx radiotherapy of,RxNorm radiotherapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx steroid tx of,RxNorm steroid therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx support med of,RxNorm Supportive medication of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Rx targeted tx of,RxNorm targeted therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
RxNorm - ATC,RxNorm to ATC,MAPS_TO,Identity,Vocab Mapping,Reverse of ATC - RxNorm,"Connects ATC Classes and Drug Products, but not Ingredients",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
RxNorm - ATC name,RxNorm to ATC equivalent by concept_name (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
RxNorm - ATC pr lat,RxNorm/Extension to ATC pr lateral (OMOP),MAPS_TO,Associative,Ingredient,Reverse of ATC - RxNorm pr lat,"Connects Monocomponent ATC Class with its full semantic equivalent in the form of the main active Standard Ingredient.
Connects the 1st active ingredient of the ATC Polycomponent ATC Class with Standard Ingredient. 
Can be used for a group of similar ingredients (e.g. senna glycosides, estrogens)",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
RxNorm - ATC pr up,RxNorm/Extension to ATC primary upwards (OMOP),MAPS_TO,Hierarchical,Ingredient,Reverse of ATC - RxNorm pr up,"Connects the 1st Ingredient Group of a Multicomponent ATC Class to respective Rx/RxE Ingredients
Applied to a Multicomponent ATC Class, whose name starts either from an Ingredient Group or the word of ‘^combinations’, or contains only one Ingredient Group, which is mentioned somewhere in the middle
Can be used for well-defined but diverse group of ingredients (e.g. diastase, tree pollen, feather)",https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
RxNorm - ATC sec lat,RxNorm/Extension to ATC secondary lateral (OMOP),MAPS_TO,Associative,Ingredient,Reverse of ATC - RxNorm sec lat,Connects the 2nd active ingredient OR any subsequent active ingredient of a Multicomponent ATC Class to Rx/RxE Ingredient.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
RxNorm - ATC sec up,RxNorm/Extension to ATC secondary upwards (OMOP),MAPS_TO,Hierarchical,Ingredient,Reverse of ATC - RxNorm sec up,Connects the 2nd Ingredient Group OR any subsequent Ingredient Group OR NOT mentioned and unspecified list of Ingredients which can be in combination with Primary lateral or Primary upward ATC Classes to respective Rx/RxN Ingredients.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
RxNorm - CVX,RxNorm - CVX (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - DOI,RxNorm contained in DOI (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - ETC,RxNorm to ETC (FDB),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
RxNorm - ETC name,RxNorm to ETC equivalent by concept_name (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
RxNorm - NDFRT eq,RxNorm to NDF-RT equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - NDFRT name,RxNorm to NDF-RT equivalent by concept_name (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - SNOMED eq,RxNorm to SNOMED equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - Source eq,RxNorm to Drug Source equivalent (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm - SPL,RxNorm to SPL (NLM),MAPS_TO,,,,,
RxNorm - VAProd eq,RxNorm to VA Product equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
RxNorm dose form of,Dose form of (RxNorm),ATTRIBUTE,Attribute,Dose,,Links specific pharmaceutical dose form to a drug.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm has dose form,Has dose form (RxNorm),ATTRIBUTE,Attribute,Dose,,Links a drug to its specific pharmaceutical dose form.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm has ing,Has ingredient (RxNorm),COMPOSITION,Composition,Ingredient,,Links a drug concept to its constituent active ingredient(s).,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm ing of,Ingredient of (RxNorm),COMPOSITION,Composition,Ingredient,,Links an ingredient to its containing drug concepts.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm inverse is a,Inverse is a (RxNorm),ONTO_U,Hierarchical,Down,Standard -> specific,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm is a,Is a (RxNorm),ONTO_U,Hierarchical,Up,Specific -> Standard,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
RxNorm replaced by,Concept replaced by (RxNorm),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
RxNorm replaces,Concept replaces (RxNorm),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Scale of,Scale of,ATTRIBUTE,,,,,
Scale type of,Scale type of,ATTRIBUTE,,,,,
Schema to ICDO,Schema to ICDO Condition (NAACCR),MAPS_TO,,,,,
Schema to Value,Schema to Value (NAACCR),MAPS_TO,,,,,
Schema to Variable,Schema to Variable (NAACCR),MAPS_TO,,,,,
Setting of,Setting of (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Severity of,Severity of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
SMQ - MedDRA,SMQ consists of MedDRA (MedDRA),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
SNOMED - ATC eq,SNOMED to ATC equivalent (RxNorm),MAPS_TO,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
SNOMED - CPT4 eq,SNOMED to CPT-4 equivalent (OMOP),MAPS_TO,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
SNOMED - HOI,SNOMED contained in HOI (OMOP),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED - ICD9P eq,SNOMED to ICD-9-Procedure equivalent (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
SNOMED - ICDO,SNOMED - ICDO,MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
SNOMED - ind/CI,SNOMED to Indication/Contra-indication,MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED - LOINC eq,SNOMED to LOINC Hierarchy equivalent (LOINC),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
SNOMED - MedDRA eq,SNOMED to MedDRA equivalent (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED - NDFRT eq,SNOMED to NDF-RT equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED - OPCS4,SNOMED to OPCS4 equivalent or categorical (NHS),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
SNOMED - RxNorm eq,SNOMED to RxNorm equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED - VA Class eq,SNOMED to VA Class equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED cat - CPT4,SNOMED category to CPT-4 (OMOP),MAPS_TO,Identity,Vocab Mapping,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-SNOMED#equivalent-and-categorical-relationships
SNOMED meas - HCPCS,SNOMED measurement subsumes HCPCS (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
SNOMED proc - HCPCS,SNOMED procedure subsumes HCPCS (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Source - RxNorm eq,Drug Source to RxNorm equivalent (OMOP),MAPS_TO,Identity,Vocab Mapping,,,
Spec active ing of,Specific active ingredient of (SNOMED),COMPOSITION,,,,,
Specimen identity of,Specimen source identity of (SNOMED),ATTRIBUTE,Attribute,Specimen,,"Specifies the type of individual, group, or physical location from which a specimen is collected",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-identity
Specimen morph of,Specimen source morphology of (SNOMED),ATTRIBUTE,Attribute,Specimen,,Specifies the morphologic abnormality from which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-source-morphology
Specimen of,Specimen of (SNOMED),ATTRIBUTE,Attribute,Evaluation,,Indicates the type of specimen on which a measurement or observation is performed.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/evaluation-procedure-attributes#has-specimen
Specimen proc of,Specimen procedure of (SNOMED),ATTRIBUTE,Attribute,Specimen,,Identifies the procedure by which a specimen is obtained.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-procedure
Specimen subst of,Specimen substance of (SNOMED),ATTRIBUTE,Attribute,Specimen,,"Specifies the type of substance, pharmaceutical/biologic product, or physical object of which a specimen is comprised.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/specimen/specimen-defining-attributes#specimen-substance
Specimen topo of,Specimen source topography of (SNOMED),ATTRIBUTE,,,,,
SPL - RxNorm,SPL to RxNorm (NLM),MAPS_TO,,,,,
Stage of,Stage of (SNOMED),ATTRIBUTE,,,,,
Start date of,Start date of,ATTRIBUTE,,,,,
State of matter of,State of matter of (SNOMED),ATTRIBUTE,,,,,
Status of,Status of,ATTRIBUTE,,,,,
Steroid tx of,Steroid therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Strength of,Ingredient qualitative strength of (SNOMED),ATTRIBUTE,,,,,
Sub-specimen of,Sub-specimen of (SNOMED Vet),ATTRIBUTE,,,,,
Subject matter of,Subject matter domain of (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Subject of,Subject of (SNOMED),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Subst used by,Substance used by (SNOMED),METADATA,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Subsumes,Subsumes,ONTO_DOWN,Hierarchical,Down,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Supplier of,Supplier or manufacturer of (OMOP),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Supportive med of,Supportive medication of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Surf character of,Surface characteristic of (SNOMED),ATTRIBUTE,,,,,
Surface texture of,Surface texture of (SNOMED),ATTRIBUTE,Attribute,Physical,,Represents the tactile characteristic or appearance of the surface of an object.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/physical-object/physical-object-defining-attributes#has-surface-texture
Surgical appr of,Surgical approach of (SNOMED),ATTRIBUTE,,,,,
Synth regimen of,Synthetic regimen of(HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
System of,System of,ATTRIBUTE,,,,,
Targ population of,Target population of (SNOMED),ATTRIBUTE,,,,,
Targeted therapy of,Targeted therapy of (HemOnc),ATTRIBUTE,Attribute,Therapy,,,https://hemonc.org/wiki/HemOncKB_canonical_triples
Technique of,Technique of (SNOMED),ATTRIBUTE,Attribute,Observation,,Specify the systematic method of an observation.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#technique
Temp related to,Temporally related to (SNOMED),METADATA,Attribute,Temporal,"All listed as ""Clinical Finding and Disorder""", Applies to perioperative complications and clinical findings where there is no causal relationship but a time-relative association exists.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#temporally-related-to
Temporal context of,Temporal context of (SNOMED),ATTRIBUTE,,,,,
Therap class of,Therapeutic class of (NDF),ATTRIBUTE,,,,,
Time aspect of,Time aspect of,ATTRIBUTE,,,,,
Topic of,Topic of,ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Topography of ICDO,Topography of ICDO,UNCATEGORISED,,,,,
Towards,Towards (SNOMED),METADATA,Attribute,Entity,,"Specify a disposition, what the disposition is towards, i.e. a specific triggering agent, or more generally, participant in the realization of the disposition.",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/observable-entity/observable-entity-defining-attributes#towards
Trade family grp of,Trade family group of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Tradename of,Tradename of (RxNorm),ATTRIBUTE,Attribute,Commercial,"Bridging two distinct clinical entities, one that is manufacturer-neutral (Clinical) and one that is manufacturer-specific (Branded)",Navigation link between Clinical (Generic) and Branded concepts.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-RXNORM_EXTENSION#result
Transcribes to,Genomic DNA transcribes to mRNA,UNCATEGORISED,,,,,
Transformation of,Dose form transformation of (SNOMED),ATTRIBUTE,,,,,
Translates to,mRNA Translates to protein,UNCATEGORISED,,,,,
Typ bill - Freq Code,Typ bill Full to Frequency code (UB04),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Typ bill - Typ bill3,Typ bill Full to Typ bill 3 digits (UB04),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Typ bill3 - Typ bill,Typ bill 3 digits to Typ bill Full (UB04),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Type mapped from,Type concept to non-standard map (OMOP),MAPS_FROM,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Type of,Type of,ATTRIBUTE,,,,,
Type of service of,Type of service of (LOINC),ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
UCUM replaced by,Concept replaced by (UCUM),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
UCUM replaces,Concept replaces (UCUM),VERSIONING,Uncategorised,Uncategorised,Unused in OMOP CDM,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Unit mapped from,Unit concept to non-standard map (OMOP),MAPS_FROM,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Unit of,Unit of,ATTRIBUTE,Attribute,Characteristic,,,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-LOINC#relationships
Unit of admin of,Unit of administration of (SNOMED),ATTRIBUTE,,,,,
Unit of presen of,Unit of presentation of (SNOMED),ATTRIBUTE,,,,,
Unit of prod use of,Unit relating to the entity that can be handled of (DM+D),ATTRIBUTE,,,,,
Using acc device,Using access device (SNOMED),METADATA,Attribute,Device,,Using access device (attribute) specifies the instrument or equipment used to access the site of a procedure.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#using-access-device
Using device,Using device (SNOMED),METADATA,Attribute,Device,,"Using device (attribute) refers to the instrument or equipment utilized to execute an action. It is used when the device is actually used to carry out the action, that is the focus of the procedure. ",https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#using-device
Using energy,Using energy (SNOMED),METADATA,Attribute,Characteristic,,Using energy (attribute) refers to the energy used to execute an action.,
Using finding inform,Using finding informer (SNOMED),METADATA,Attribute,Clinical,"All listed as ""Clinical Finding and Disorder""",Specifies the person or other entity from which the clinical finding information was obtained. It is not about the particular individual but about the category or type of informer. It is used to differentiate patient-reported symptoms from provider-determined signs.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-informer
Using finding method,Using finding method (SNOMED),ATTRIBUTE,Attribute,Diagnostic,"All listed as ""Clinical Finding and Disorder""",Specifies the means by which a clinical finding was determined. It includes findings that were determined by examination of the patient.,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/clinical-finding-and-disorder/clinical-finding-defining-attributes#finding-method
Using subst,Using substance (SNOMED),METADATA,Attribute,Characteristic,,Using substance (attribute) describes the Substance used to execute the action of a procedure. ,https://docs.snomed.org/education/snomed-ct-education-editorial-guide/readme/authoring/domain-specific-modeling/procedure/procedure-defining-attributes/index#using-substance
VA Class - SNOMED eq,VA Class to SNOMED equivalent (RxNorm),MAPS_TO,Identity,Vocab Mapping,,,
VA Class to ATC eq,VA Class to ATC equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,Reverse of ATC to VA Class eq,Is a cross-link between ATC and Veteran Affairs drug classification.,https://github.com/OHDSI/Vocabulary-v5.0/wiki/Vocab.-ATC#other-information
VA Class to NDFRT eq,VA Class to NDFRT equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
Vaccine group of,Vaccine group of (CVX),ATTRIBUTE,,,,,
Value mapped from,Value_as_concept to non-standard map (OMOP),MAPS_FROM,Identity,Vocab Mapping,,,
Value of,Value of,ATTRIBUTE,,,,,
Value to Schema,Value to Schema (NAACCR),MAPS_TO,,,,,
VAProd - NDFRT,VA Product to NDF-RT (NDF-RT),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VAProd - RxNorm eq,VA Product to RxNorm equivalent (NDF-RT),MAPS_TO,Identity,Vocab Mapping,,,
Variable has date,Variable has date (NAACCR),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
Variable to Schema,Variable to Schema (NAACCR),MAPS_TO,,,,,
Variant of,Variant refer to concept,ATTRIBUTE,,,,,
Version contains,OMOP CDM Version contains table/field (OMOP),COMPOSITION,,,,,
Visit cat - PoS,Visit category to Place of Service (OMOP),MAPS_TO,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VMP has prescr stat,VMP has prescribing status (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VMP of,Virtual Medicinal Product of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VMP prescr stat of,VMP prescribing status of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VRP has prescr stat,VRP has prescribing status (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VRP of,VRP of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM,,
VRP prescr stat of,VRP prescribing status of (SNOMED),ATTRIBUTE,Uncategorised,Uncategorised,Unused in OMOP CDM
